,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.16368176527523
5,logXiH,13.827640101328775
6,kappa,4.50633506803277
7,q,0.058778283496078866
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.015917484192337877
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0003388821523220277
15,sigmaW,0.03730553771014057
16,sigmaQ,0.04274277151941823
17,sigmaR,0.04274277151941822
18,deltaE,0.3621237886956418
19,deltaH,0.07247207189082552
20,PiH,0.05385821252896137
21,PiE,2.2279490458220237
22,betaE,52.380220667975486
23,betaH,4.617630921578686
24,muW,0.03399850048264332
25,muQ,2.453889406801788
26,r,2.4482015009490983
27,dent,8.27525709121609e-08
28,Fe,3.168284810548659
29,firstCoefsE,0.03399850048264347
30,secondCoefsE,0.00018032435087267474
31,Fh,2.550050541091593
32,firstCoefsH,0.03399850048264347
33,secondCoefsH,0.00018032435087267474
34,HJB_E,2.565003745720403
35,HJB_H,2.760199048406598
36,kappa_min,0.01756268396184137
