,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,3.375174468761191
5,logXiH,6.653367508385351
6,kappa,3.739100333819595
7,q,0.7803339827101768
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.2145524197746741
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.6085395744276058
16,sigmaQ,1.5230413659918645
17,sigmaR,1.5230413659918645
18,deltaE,1.663554160104193
19,deltaH,1.6807412050549397
20,PiH,1.1318901717512486
21,PiE,7.884163344540875
22,betaE,39.35609236247596
23,betaH,5.46986658139133
24,muW,0.5247637925900853
25,muQ,114.40638111988525
26,r,113.83861007376532
27,dent,0.0003717705225623147
28,Fe,117.1197525885893
29,firstCoefsE,0.5247637925900851
30,secondCoefsE,0.0277676072258507
31,Fh,113.88378210642696
32,firstCoefsH,0.5247637925900851
33,secondCoefsH,0.0277676072258507
34,HJB_E,9.08624481899529
35,HJB_H,6.009840454272183
36,kappa_min,0.1581337535098689
