,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,0.5616288681519442
5,logXiH,0.5797953234928992
6,kappa,22.57721695009166
7,q,0.2285452163691719
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.11613582315175375
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.9266611102159706
16,sigmaQ,0.08371314909500775
17,sigmaR,0.08371314909500775
18,deltaE,0.6232401378309139
19,deltaH,0.6234385393093703
20,PiH,1.7831631717674674
21,PiE,4.312696623994333
22,betaE,104.42030894698152
23,betaH,43.79035471070931
24,muW,0.0771746246329122
25,muQ,3.5000720453192895
26,r,3.73116745689311
27,dent,0.007770921664190284
28,Fe,3.3290899921249673
29,firstCoefsE,0.07717462463291241
30,secondCoefsE,0.012092137973991827
31,Fh,3.783248574412934
32,firstCoefsH,0.07717462463291229
33,secondCoefsH,0.012092137973991827
34,HJB_E,0.0630911002917677
35,HJB_H,0.9087950331634393
36,kappa_min,0.06951390678927478
