,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.395246274742096
5,logXiH,13.755658204286705
6,kappa,2.9405946692358262
7,q,0.038355582642205385
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.010372374081628399
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0003388821523220277
15,sigmaW,0.024546917059266978
16,sigmaQ,0.042099692385500605
17,sigmaR,0.042099692385500605
18,deltaE,0.6408455101421295
19,deltaH,0.12818023638268453
20,PiH,0.04725594929905256
21,PiE,1.1596438769401098
22,betaE,26.496027636875617
23,betaH,3.0286300872482803
24,muW,0.05277446332062523
25,muQ,2.7729907203864337
26,r,2.7631141323654984
27,dent,7.506025778855248e-07
28,Fe,4.197584834926427
29,firstCoefsE,0.05277446332062531
30,secondCoefsE,0.00013902430368931202
31,Fh,2.8565319656205395
32,firstCoefsH,0.05277446332062531
33,secondCoefsH,0.00013902430368931202
34,HJB_E,3.616741100365863
35,HJB_H,3.6166878603599115
36,kappa_min,0.016603044692454872
