,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,41.55446277208208
5,logXiH,2270.4883166038335
6,kappa,23.59040477231696
7,q,98.34058818325995
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,38.20305415836886
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.9688180520462539
16,sigmaQ,3.3511026617285364
17,sigmaR,3.3511026617285364
18,deltaE,1.064580700866265
19,deltaH,0.9982319032934105
20,PiH,3.8227452572595624
21,PiE,5.687225139953434
22,betaE,109.52694276664764
23,betaH,46.63596072927601
24,muW,24.82926939856659
25,muQ,21.66239562963817
26,r,16.426493683796522
27,dent,0.17430269670858398
28,Fe,11.579602657582729
29,firstCoefsE,24.82926939856659
30,secondCoefsE,0.012141515791645572
31,Fh,128.1568282689197
32,firstCoefsH,24.82926939856659
33,secondCoefsH,0.012141515791645572
34,HJB_E,0.01595622410298935
35,HJB_H,0.40799445953838437
36,kappa_min,0.05816658198912684
