,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,3.028257499639674
5,logXiH,7.884530290297862
6,kappa,3.570237171949835
7,q,0.9313662187695231
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.26275247371661625
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.8021101230251705
16,sigmaQ,1.8016637751922837
17,sigmaR,1.8016637751922837
18,deltaE,1.776174669984108
19,deltaH,1.8177506331028497
20,PiH,1.179867673188642
21,PiE,10.927616330473773
22,betaE,71.65216391145319
23,betaH,4.812816254494365
24,muW,0.7179651757875649
25,muQ,103.17035275317915
26,r,102.61791232629629
27,dent,0.0004893686976725715
28,Fe,105.77065286349043
29,firstCoefsE,0.7179651757875649
30,secondCoefsE,0.04205798431249411
31,Fh,102.647267204408
32,firstCoefsH,0.7179651757875649
33,secondCoefsH,0.04205798431249411
34,HJB_E,5.124327453997491
35,HJB_H,9.435246486247715
36,kappa_min,0.19035732708027428
