,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,3.227962586589318
5,logXiH,8.862310169111874
6,kappa,6.152061739704398
7,q,0.8024428356136177
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.21955927735518632
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.4706649142248398
16,sigmaQ,1.1738675809490167
17,sigmaR,1.1738675809490167
18,deltaE,2.0766639778427254
19,deltaH,2.083048943437965
20,PiH,1.0403001483764882
21,PiE,8.518844390675634
22,betaE,122.9616964100202
23,betaH,8.353772642467309
24,muW,0.33183331714099273
25,muQ,61.79613625900253
26,r,61.650215330995316
27,dent,0.0007196203787037423
28,Fe,62.99396701776081
29,firstCoefsE,0.33183331714099246
30,secondCoefsE,0.015546834924744025
31,Fh,61.72894290969268
32,firstCoefsH,0.33183331714099246
33,secondCoefsH,0.015546834924744025
34,HJB_E,7.4286152175449915
35,HJB_H,43.90668673321371
36,kappa_min,0.11848068428197993
