,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,26.21896006689642
5,logXiH,10.375498995929119
6,kappa,0.9343786375538154
7,q,0.2437509489270825
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.06721075884341912
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,137.13065756222392
16,sigmaQ,208.19954096739662
17,sigmaR,208.19954096739662
18,deltaE,236206.2282715841
19,deltaH,236206.22826277034
20,PiH,219.79574882933147
21,PiE,1437.8332081572355
22,betaE,25.17937683175804
23,betaH,1.0609309207626583
24,muW,155329.2626336075
25,muQ,355478.6519747501
26,r,95131.62235179708
27,dent,6.82398712876708e-05
28,Fe,2445196.504732305
29,firstCoefsE,336875.7560518689
30,secondCoefsE,8520.624206145432
31,Fh,96903.9410670456
32,firstCoefsH,130789.86144346876
33,secondCoefsH,8520.624206145432
34,HJB_E,912675.6850770883
35,HJB_H,198912.09028205948
36,kappa_min,17260.688590293514
