,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,3.2970316515301437
5,logXiH,1.657104023233064
6,kappa,7.443896763270526
7,q,0.38837722243150585
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.10397670572067379
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.33988793225330044
16,sigmaQ,0.5593868468661145
17,sigmaR,0.5593868468661144
18,deltaE,0.45210557062793705
19,deltaH,0.45404476780670655
20,PiH,0.6245052194869136
21,PiE,4.3629211716830065
22,betaE,91.37241734861571
23,betaH,8.795818406580402
24,muW,0.12613585119674403
25,muQ,55.83043600994784
26,r,55.69777725402396
27,dent,0.0012537457836993286
28,Fe,56.356303663750545
29,firstCoefsE,0.12613585119674392
30,secondCoefsE,0.008246309875078203
31,Fh,55.72969274251315
32,firstCoefsH,0.12613585119674392
33,secondCoefsH,0.008246309875078203
34,HJB_E,29.459202436067297
35,HJB_H,15.043573994709252
36,kappa_min,0.12113335921184305
