,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,6.799045999697059
5,logXiH,14.391485982276
6,kappa,13.97166754081115
7,q,0.1822391418366644
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.04934105927058646
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0003388821523220277
15,sigmaW,0.28284778430986485
16,sigmaQ,0.09095479353901177
17,sigmaR,0.09095479353901177
18,deltaE,1.0923384840842947
19,deltaH,0.5462293947628812
20,PiH,0.37298908891245053
21,PiE,2.8459749094579414
22,betaE,69.33212694834155
23,betaH,17.856468134303924
24,muW,0.057068608020968754
25,muQ,3.205342801011293
26,r,3.2914379920805357
27,dent,4.1697213601546196e-06
28,Fe,3.5353203464178384
29,firstCoefsE,0.0570686080209686
30,secondCoefsE,0.0021897199674851837
31,Fh,3.4598649176381087
32,firstCoefsH,0.057068608020968685
33,secondCoefsH,0.0021897199674851837
34,HJB_E,0.40357288402106434
35,HJB_H,2.1094768171502873
36,kappa_min,0.0917860626539798
