,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,6.862118453252333
5,logXiH,16.299247911047935
6,kappa,13.174634386793482
7,q,0.1718430572190425
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.04652221684402302
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0003388821523220277
15,sigmaW,0.2665932571908639
16,sigmaQ,0.08942485177769413
17,sigmaR,0.08942485177769413
18,deltaE,0.2957856499940179
19,deltaH,0.148088292135988
20,PiH,0.3461897824633118
21,PiE,2.610936666963291
22,betaE,63.456997256310466
23,betaH,16.61847518123015
24,muW,0.042679747973043615
25,muQ,2.789412573942409
26,r,2.8280155811645153
27,dent,9.102755321798485e-06
28,Fe,2.6692852066953434
29,firstCoefsE,0.04267974797304325
30,secondCoefsE,0.0021473706127203437
31,Fh,3.015072214003658
32,firstCoefsH,0.04267974797304325
33,secondCoefsH,0.002147370612720344
34,HJB_E,0.5759579097531763
35,HJB_H,2.173969345576447
36,kappa_min,0.09027689263249217
