,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,4.023691869041994
5,logXiH,5.368753968505516
6,kappa,4.009062851667808
7,q,0.836673986435021
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.23139405243791056
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.622747617380554
16,sigmaQ,1.5224657145208413
17,sigmaR,1.5224657145208413
18,deltaE,2.9680569812939717
19,deltaH,2.979863386084701
20,PiH,1.1466908150099009
21,PiE,8.880311703878355
22,betaE,63.50973941894555
23,betaH,5.439072335057445
24,muW,0.538554765316995
25,muQ,95.83576075226861
26,r,95.39424457502908
27,dent,0.0007450164812472317
28,Fe,98.32337407252123
29,firstCoefsE,0.5385547653169946
30,secondCoefsE,0.02828197269920432
31,Fh,95.45194679266746
32,firstCoefsH,0.5385547653169946
33,secondCoefsH,0.02828197269920432
34,HJB_E,12.084359735108412
35,HJB_H,10.11140937371164
36,kappa_min,0.16831040445003945
