,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,6.5247505844601426
5,logXiH,16.058282827466343
6,kappa,3.081110369196184
7,q,0.8037679223990054
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.22714231107613517
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.7679862399693046
16,sigmaQ,1.4325579640576382
17,sigmaR,1.4325579640576382
18,deltaE,2.1320247768153
19,deltaH,2.1613209097038615
20,PiH,3.8333934356044104
21,PiE,11.666242596972053
22,betaE,60.28053995710861
23,betaH,3.5531777759548198
24,muW,0.7989725706357177
25,muQ,55.0113444650341
26,r,54.28976673585377
27,dent,0.00044482186503518663
28,Fe,59.369178082215704
29,firstCoefsE,0.7989725706357177
30,secondCoefsE,0.04108427011027216
31,Fh,54.35132726176806
32,firstCoefsH,0.8411684307842581
33,secondCoefsH,0.04108427011027216
34,HJB_E,6.678028867183357
35,HJB_H,84.86269607202173
36,kappa_min,0.1763877170599721
