,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.171346748014152
5,logXiH,2.5443459107751463
6,kappa,7.162622045121844
7,q,0.09342550493636897
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.025267442060769585
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.2966552344076027
16,sigmaQ,0.05597574162963325
17,sigmaR,0.05597574162963325
18,deltaE,0.7856791704750636
19,deltaH,0.7857230430763978
20,PiH,2.036333700169607
21,PiE,3.6195649028997603
22,betaE,85.32130513462187
23,betaH,8.781570058927663
24,muW,0.25908434639458977
25,muQ,1.799360760976931
26,r,1.9359674516816456
27,dent,4.508345421365734e-05
28,Fe,10.930507432868378
29,firstCoefsE,0.36018000503647496
30,secondCoefsE,0.008192427960900386
31,Fh,1.9708357909463394
32,firstCoefsH,0.25238963498301087
33,secondCoefsH,0.008192427960900386
34,HJB_E,0.5683405362622506
35,HJB_H,0.3548356251958587
36,kappa_min,0.08367643017419311
