,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,18.684267454318604
5,logXiH,23.831474941639822
6,kappa,3.7175405814574427
7,q,0.9697931951628118
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.27007037477754203
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.8340086533448111
16,sigmaQ,1.826619211692474
17,sigmaR,1.826619211692474
18,deltaE,2.555751179079199
19,deltaH,2.5846278725065734
20,PiH,1.1760252411919079
21,PiE,10.278914248110183
22,betaE,46.622328932575954
23,betaH,5.414477961409644
24,muW,0.735737729253023
25,muQ,84.95970999405323
26,r,84.29542284192549
27,dent,0.0031188627812250066
28,Fe,88.46613704653669
29,firstCoefsE,0.7357377292530229
30,secondCoefsE,0.043978754542185694
31,Fh,84.300331427693
32,firstCoefsH,0.7357377292530229
33,secondCoefsH,0.043978754542185694
34,HJB_E,24.83700855122479
35,HJB_H,26.44854374820074
36,kappa_min,0.21526110477022647
