,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,10.040301000227503
5,logXiH,0.7514029402168129
6,kappa,6.065549546278691
7,q,0.07911586364711054
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.021393289482486796
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.25202019296229045
16,sigmaQ,0.05118626860347832
17,sigmaR,0.05118626860347832
18,deltaE,0.4074622265196868
19,deltaH,0.4075220250305842
20,PiH,1.8797577104811518
21,PiE,3.2495213061508403
22,betaE,71.0208650413649
23,betaH,7.3918224890870325
24,muW,0.17453730585708646
25,muQ,1.3948675262268961
26,r,1.463106107632546
27,dent,5.405525206118598e-05
28,Fe,5.75979547190584
29,firstCoefsE,0.2847030211973091
30,secondCoefsE,0.007194444120456546
31,Fh,1.4754348438731675
32,firstCoefsH,0.1636781096382432
33,secondCoefsH,0.007194444120456547
34,HJB_E,0.7471401192885657
35,HJB_H,0.26489219497911853
36,kappa_min,0.0797591902282586
