,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,31.2346904561715
5,logXiH,8.146562271578135
6,kappa,1.2545191432215008
7,q,0.32726586344908737
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.09821166620398218
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,8.761632142985995
16,sigmaQ,11.647947727738279
17,sigmaR,11.647947727738279
18,deltaE,150.36256572992792
19,deltaH,150.36255133295495
20,PiH,9.6574307760909
21,PiE,69.19423700465553
22,betaE,68.95287268609803
23,betaH,1.3222904404301068
24,muW,103.50470137004957
25,muQ,90.71958484367583
26,r,79.97460806734118
27,dent,9.606678456103521e-05
28,Fe,1104.226721002726
29,firstCoefsE,228.1834294986551
30,secondCoefsE,7.992770841813834
31,Fh,79.62086864563472
32,firstCoefsH,93.729397274509
33,secondCoefsH,7.992770841813834
34,HJB_E,525.3571832548245
35,HJB_H,295.589080315484
36,kappa_min,14.60097260724529
