,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,9.466435898368003
5,logXiH,10.790601177449405
6,kappa,0.4667643085367063
7,q,0.6538750727040418
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.24482460996998745
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.4392273312127055
15,sigmaW,0.12931616318307318
16,sigmaQ,0.4632618836611779
17,sigmaR,0.4632618836611778
18,deltaE,1.0336422067566038
19,deltaH,0.518455739805336
20,PiH,18.16189450990172
21,PiE,3.3602717105291626
22,betaE,12.153297214058535
23,betaH,0.62505484775259
24,muW,0.4510873913262841
25,muQ,23.529116014299035
26,r,23.46893526789838
27,dent,0.0026136077196907224
28,Fe,25.172971048912213
29,firstCoefsE,0.45108739132628406
30,secondCoefsE,0.0029141727385018773
31,Fh,30.589090139397584
32,firstCoefsH,0.7760387363312977
33,secondCoefsH,0.0029141727385018773
34,HJB_E,35.02146606200191
35,HJB_H,23.62745511051894
36,kappa_min,0.03779329169664698
