,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,98.14440100852588
5,logXiH,542.8733410947398
6,kappa,2.0991166689743532
7,q,49.932680957713224
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,18.39357169282863
12,muZ,0.0
13,muVtilde,0.0
14,chi,6.778041103953141
15,sigmaW,0.8654963615988515
16,sigmaQ,4.4642020662021595
17,sigmaR,4.464202066202159
18,deltaE,9.319778764877258
19,deltaH,6.412459333489699
20,PiH,104.81318670044097
21,PiE,14.033327501280054
22,betaE,19.828271263149016
23,betaH,2.761370708134388
24,muW,14.015313782002725
25,muQ,44.64570859325142
26,r,53.75152872684116
27,dent,0.041098426492749786
28,Fe,57.58135394217386
29,firstCoefsE,14.015313782002725
30,secondCoefsE,0.009154974887360915
31,Fh,171.8617901501641
32,firstCoefsH,24.873417925200076
33,secondCoefsH,0.009154974887360915
34,HJB_E,65.05409409976045
35,HJB_H,182.93222334605892
36,kappa_min,0.07918052737450978
