,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,8.36027951052441
5,logXiH,10.783877842036553
6,kappa,3.1496200974118125
7,q,0.8216400254117778
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.23244927478505029
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.8004492008341672
16,sigmaQ,1.4279531949040847
17,sigmaR,1.4279531949040847
18,deltaE,3.109741359344058
19,deltaH,3.131244561036941
20,PiH,3.1230546800255454
21,PiE,12.009742051523261
22,betaE,71.04298307815384
23,betaH,3.621996037484791
24,muW,0.8357238726079536
25,muQ,49.21036747963861
26,r,48.73568034901402
27,dent,0.0002759190219099857
28,Fe,53.39131359257086
29,firstCoefsE,0.8357238726079536
30,secondCoefsE,0.04318708476921466
31,Fh,48.798150307782294
32,firstCoefsH,0.7752077461172246
33,secondCoefsH,0.04318708476921466
34,HJB_E,2.5678620709422866
35,HJB_H,8.622780943297368
36,kappa_min,0.17699061200702285
