,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,3.175255872135936
5,logXiH,3.6663152827772554
6,kappa,3.7599087582411768
7,q,0.9808457630194383
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.2738456508574295
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.8592543198284884
16,sigmaQ,1.88121229376411
17,sigmaR,1.88121229376411
18,deltaE,1.6217877770470759
19,deltaH,1.6666368603144226
20,PiH,1.1823872351911298
21,PiE,10.41997016490697
22,betaE,45.90441126376027
23,betaH,4.628910684600419
24,muW,0.7417030675048696
25,muQ,99.34268560168749
26,r,98.84307621987807
27,dent,0.000414953971481781
28,Fe,102.07418400763785
29,firstCoefsE,0.7417030675048695
30,secondCoefsE,0.04443374670729488
31,Fh,98.87269315670436
32,firstCoefsH,0.7417030675048695
33,secondCoefsH,0.04443374670729488
34,HJB_E,81.50057318596909
35,HJB_H,61.11999741789443
36,kappa_min,0.18218659266383613
