,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,6.630349333309461
5,logXiH,16.154757922789134
6,kappa,14.678835209781052
7,q,0.19146306795366297
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.05184025946259814
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0003388821523220277
15,sigmaW,0.2974483329567182
16,sigmaQ,0.09387481132752493
17,sigmaR,0.09387481132752493
18,deltaE,1.0147590642279398
19,deltaH,0.5074495734912421
20,PiH,0.4046901814107265
21,PiE,2.9724570058108557
22,betaE,72.49203927182168
23,betaH,19.156687534504616
24,muW,0.05574327024966907
25,muQ,3.4628863670934984
26,r,3.54486380476371
27,dent,2.0874777387745086e-06
28,Fe,3.680846321908278
29,firstCoefsE,0.055743270249668866
30,secondCoefsE,0.002220237253584268
31,Fh,3.7171634799727067
32,firstCoefsH,0.055743270249668866
33,secondCoefsH,0.002220237253584268
34,HJB_E,0.2977141274085061
35,HJB_H,2.428693666518778
36,kappa_min,0.09287622725469843
