,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,30.118425031870405
5,logXiH,736.9701160304372
6,kappa,1.3370405696689776
7,q,0.3487931920875593
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.10218875946950207
12,muZ,0.0
13,muVtilde,0.0
14,chi,11.208795033841264
15,sigmaW,0.5946819080205026
16,sigmaQ,1.1218399773264824
17,sigmaR,1.1218399773264827
18,deltaE,10.77638222717256
19,deltaH,5.389715915303924
20,PiH,79.39645383268302
21,PiE,8.810174222392892
22,betaE,47.17072505044413
23,betaH,1.4162563976760665
24,muW,3.7406323891376245
25,muQ,19.301941892882535
26,r,24.836541685001947
27,dent,0.017826154587324804
28,Fe,21.937921649681837
29,firstCoefsE,3.7406323891376245
30,secondCoefsE,0.018006273316337404
31,Fh,87.67066034827334
32,firstCoefsH,9.122504974607732
33,secondCoefsH,0.018006273316337404
34,HJB_E,25.818745144409956
35,HJB_H,119.50438221036711
36,kappa_min,0.052323924371470126
