,Variables,Norms
0,W,0.0
1,Z,0.0
2,V,0.0
3,Vtilde,0.0
4,logXiE,6.627982447629386
5,logXiH,4.6972230180100265
6,kappa,4.641702490914197
7,q,1.2108789106732694
8,sigmaK,0.0
9,sigmaZ,0.0
10,sigmaVtilde,0.0
11,muK,0.3388398659901212
12,muZ,0.0
13,muVtilde,0.0
14,chi,0.0
15,sigmaW,0.9060960207581394
16,sigmaQ,1.803578737832531
17,sigmaR,1.803578737832531
18,deltaE,1.9257284894985394
19,deltaH,1.9761341955289753
20,PiH,1.153150862797358
21,PiE,11.292857804545514
22,betaE,51.26712862550952
23,betaH,6.661972847128399
24,muW,0.7797274112703846
25,muQ,69.28801157093467
26,r,68.87490553719756
27,dent,0.004116497359228214
28,Fe,71.75074915010318
29,firstCoefsE,0.7797274112703846
30,secondCoefsE,0.04611929735438116
31,Fh,68.87032709070927
32,firstCoefsH,0.7797274112703846
33,secondCoefsH,0.04611929735438116
34,HJB_E,20.439509718488967
35,HJB_H,24.850617148804915
36,kappa_min,0.21593626201777247
